"","Property_type","City","Country","Detail_clean","Bed_count","Final_price","Discount","Start_date","End_date","Duration_days","Nb_reviews","Rating","Location_full"
"738","Tiny home","Lakeside","US","The Stillwater at Stoner Creek Cabins",1,178,FALSE,2023-05-01,2023-05-06,5,211,5,"Lakeside"
"739","Home","Half Moon Bay","US","A little piece of heaven...",4,950,FALSE,2023-05-01,2023-05-06,5,180,4.88,"Half Moon Bay"
"740","Cabin","Martin City","US","Romantic Cabin - 9 miles to Glacier National Park",2,171,FALSE,2023-05-01,2023-05-06,5,237,4.91,"Martin City"
"741","Home","Austin","US","Enjoy the Heated Pool at a Beautifully Designed Getaway",1,213,FALSE,2023-05-01,2023-05-06,5,853,4.96,"Austin"
"742","Condo","Avalon","US","The Big Blue, 1 BRDen!",2,597,FALSE,2023-05-01,2023-05-06,5,539,4.79,"Avalon"
"743","Home","Henderson","US","Beautiful pool home near strip",3,252,FALSE,2023-05-01,2023-05-06,5,15,5,"Henderson"
"744","Tent","Moab","US","Moab Glamping Luxury Tent for 2",1,254,FALSE,2023-05-01,2023-05-06,5,279,4.92,"Moab"
"745","Home","Destin","US","Villa Loggia! 5min walk to Prvt BeachpoolSmartTV",6,417,FALSE,2023-05-06,2023-05-11,5,34,4.94,"Destin"
"746","Tiny home","Lakeside","US","The Stillwater at Stoner Creek Cabins",1,178,FALSE,2023-05-01,2023-05-06,5,211,5,"Lakeside"
"747","Condo","Orange Beach","US","Totally Beachin - Condo with Stunning Ocean Views",6,287,FALSE,2023-05-01,2023-05-06,5,75,4.69,"Orange Beach"
"748","Cabin","Clyde","US","Moonlit Chalet",2,175,FALSE,2023-05-01,2023-05-06,5,173,4.87,"Clyde"
"749","Home","Wilmington","US","Atlantic Coast Dome Home Across from Sound w View",2,244,FALSE,2023-05-19,2023-05-24,5,47,4.96,"Wilmington"
"750","Home","Cape Coral","US","Welcome to our Modern Cape Escape with Heated Pool",5,233,FALSE,2023-05-01,2023-05-06,5,28,4.96,"Cape Coral"
"751","Vacation home","Klamath Falls","US","The 'Easy A' Cabin in Rocky Point",3,202,FALSE,2023-05-01,2023-05-06,5,82,4.82,"Klamath Falls"
"752","Condo","Daytona Beach","US","Luxury One Bedroom Condo with private balcony",3,123,FALSE,2023-05-01,2023-05-06,5,106,4.9,"Daytona Beach"
"753","Home","St. Augustine","US","""Swan Ocean"" Beach House on Vilano Beach",6,955,FALSE,2023-05-01,2023-05-06,5,60,4.88,"St. Augustine"
"754","Condo","New Smyrna Beach","US","Coastal Waters 214-2nd floor ocean view condo",2,168,FALSE,2023-05-01,2023-05-06,5,43,4.47,"New Smyrna Beach"
"755","Home","Eustis","US","Lake House Minutes to Downtown Mt. Dora and Eustis",2,173,FALSE,2023-05-01,2023-05-06,5,179,4.99,"Eustis"
